step,total_money_supply,total_outstanding_debt,nominal_interest_rate,realized_inflation,real_interest_rate
0,300.0,0.0,0.0,0.0,0.0
1,377.0,0.0,0.0,0.1,-0.1
2,392.40000000000003,0.0,0.0,0.06888888888888892,-0.06888888888888892
3,395.48,0.0,0.0,0.0004444444444444251,-0.0004444444444444251
