scenario,comparison,outcome,n,mean,std,se,ci_low,ci_high
abundant_minus_scarce_unavailable,institutional_contrast_market,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
abundant_minus_scarce_unavailable,institutional_contrast_market,liquidity_shortfall,30,-1408.1997511033562,216.85695774967112,39.59248250381321,-1485.80101681083,-1330.5984853958823
abundant_minus_scarce_unavailable,institutional_contrast_market,final_credit,30,168.1206517925441,18.96641958165668,3.46277861332702,161.33360571042314,174.90769787466505
scarce_penalty_minus_unavailable,institutional_contrast_administered,new_credit,40,576.1014884369881,6.731724790862912,1.064379146027372,574.0153053107745,578.1876715632018
scarce_penalty_minus_unavailable,institutional_contrast_administered,output,40,433.8311510826001,21.147135355751317,3.3436556856024637,427.2775859388193,440.38471622638093
scarce_penalty_minus_unavailable,institutional_contrast_administered,inflation_volatility,40,0.00028645113769349643,0.0003770764526675172,5.9621022122301445e-05,0.00016959393433378558,0.0004033083410532073
scarce_penalty_minus_unavailable,institutional_contrast_administered,defaults,40,0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_administered,write_offs,40,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_administered,interbank_volume,40,458.96831449514445,9.956916785534611,1.5743267757525825,455.8826340146694,462.0539949756195
scarce_penalty_minus_unavailable,institutional_contrast_administered,emergency_borrowing,40,1229.385767266759,141.8224814177974,22.42410323485729,1185.4345249264388,1273.3370096070794
scarce_penalty_minus_unavailable,institutional_contrast_administered,liquidity_shortfall,40,-1395.378871970916,212.60350492979222,33.61556570564899,-1461.265380753988,-1329.492363187844
scarce_penalty_minus_unavailable,institutional_contrast_administered,final_credit,40,119.82066598790851,2.749572654499933,0.43474560901675036,118.96856459423569,120.67276738158134
scarce_penalty_minus_unavailable,institutional_contrast_market,new_credit,40,63.63107328,58.79033647418749,9.295568383305266,45.41175924872168,81.85038731127833
scarce_penalty_minus_unavailable,institutional_contrast_market,output,40,55.648650221066504,37.4341384931569,5.918856994227963,44.047690512379695,67.2496099297533
scarce_penalty_minus_unavailable,institutional_contrast_market,inflation_volatility,40,-0.0001695460182251477,0.00018464295876504964,2.9194615180505385e-05,-0.00022676746397893826,-0.00011232457247135715
scarce_penalty_minus_unavailable,institutional_contrast_market,defaults,40,0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_market,write_offs,40,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_unavailable,institutional_contrast_market,interbank_volume,40,109.79562678199584,72.33225282848679,11.43673336145874,87.3796293935367,132.21162417045497
scarce_penalty_minus_unavailable,institutional_contrast_market,emergency_borrowing,40,1438.5099508869193,523.0937684132631,82.70838690132769,1276.401512560317,1600.6183892135216
scarce_penalty_minus_unavailable,institutional_contrast_market,liquidity_shortfall,40,-1395.378871970916,212.60350492979225,33.615565705649,-1461.265380753988,-1329.492363187844
scarce_penalty_minus_unavailable,institutional_contrast_market,final_credit,40,9.418842624000002,21.564007127238636,3.409568900108922,2.7360875797865143,16.10159766821349
scarce_limited_minus_unavailable,institutional_contrast_administered,new_credit,40,30.0,0.0,0.0,30.0,30.0
scarce_limited_minus_unavailable,institutional_contrast_administered,output,40,34.402009245332216,2.2010666618536527,0.3480191966660597,33.719891619866736,35.0841268707977
