run_id,regime,seed,coefficient,value
15e799ec223a70d9-e25d71d21bbd,administered,10012,reserve_buffer,-0.0018376733148013223
15e799ec223a70d9-e25d71d21bbd,administered,10012,capital_buffer,0.0019654755164657946
15e799ec223a70d9-e25d71d21bbd,administered,10012,expected_inflation,0.008099791200065725
ada3a21ed863b5ce-e330a1b09ce3,administered,10013,borrower_leverage,0.004930662191475111
ada3a21ed863b5ce-e330a1b09ce3,administered,10013,borrower_risk,0.0012505734189156821
ada3a21ed863b5ce-e330a1b09ce3,administered,10013,reserve_buffer,0.0006042818890672901
ada3a21ed863b5ce-e330a1b09ce3,administered,10013,capital_buffer,0.00032080928493109957
ada3a21ed863b5ce-e330a1b09ce3,administered,10013,expected_inflation,0.010507707424803215
70a44d5262c3b340-fcd7b0b1304e,administered,10014,borrower_leverage,0.004909576595791731
70a44d5262c3b340-fcd7b0b1304e,administered,10014,borrower_risk,0.0012284939596222586
70a44d5262c3b340-fcd7b0b1304e,administered,10014,reserve_buffer,-0.0008280439494196995
70a44d5262c3b340-fcd7b0b1304e,administered,10014,capital_buffer,0.0011293929432916537
70a44d5262c3b340-fcd7b0b1304e,administered,10014,expected_inflation,0.005146039383794501
ecef079de3d4a09c-2075eaae0067,administered,10015,borrower_leverage,0.004984042595700008
ecef079de3d4a09c-2075eaae0067,administered,10015,borrower_risk,0.0012219134079596544
ecef079de3d4a09c-2075eaae0067,administered,10015,reserve_buffer,-0.0014288183353803328
ecef079de3d4a09c-2075eaae0067,administered,10015,capital_buffer,0.0017693689849857203
ecef079de3d4a09c-2075eaae0067,administered,10015,expected_inflation,0.008617300096356235
603c5f92ff608f46-701d1336c862,administered,10016,borrower_leverage,0.004980228221307338
603c5f92ff608f46-701d1336c862,administered,10016,borrower_risk,0.0011962715677546049
603c5f92ff608f46-701d1336c862,administered,10016,reserve_buffer,-0.000658265642822525
603c5f92ff608f46-701d1336c862,administered,10016,capital_buffer,0.0011428132787677462
603c5f92ff608f46-701d1336c862,administered,10016,expected_inflation,0.00911305753914242
9a9d0310cc23041c-52f670c7e8ef,administered,10017,borrower_leverage,0.004924322516912598
9a9d0310cc23041c-52f670c7e8ef,administered,10017,borrower_risk,0.001237231205012591
9a9d0310cc23041c-52f670c7e8ef,administered,10017,reserve_buffer,-0.0005919400037617128
9a9d0310cc23041c-52f670c7e8ef,administered,10017,capital_buffer,0.0012324731881386585
9a9d0310cc23041c-52f670c7e8ef,administered,10017,expected_inflation,0.009095281675258093
25c832aef58d6466-15ac23949221,administered,10018,borrower_leverage,0.005105928415369633
25c832aef58d6466-15ac23949221,administered,10018,borrower_risk,0.0011991207468519856
25c832aef58d6466-15ac23949221,administered,10018,reserve_buffer,-5.705550888979836e-06
25c832aef58d6466-15ac23949221,administered,10018,capital_buffer,0.0006040958171545483
25c832aef58d6466-15ac23949221,administered,10018,expected_inflation,0.008812383101421958
fe3d59997fd4408f-2ba93f613bb3,administered,10019,borrower_leverage,0.005038310684423344
fe3d59997fd4408f-2ba93f613bb3,administered,10019,borrower_risk,0.0011810089623282614
fe3d59997fd4408f-2ba93f613bb3,administered,10019,reserve_buffer,-0.0005919023802732743
fe3d59997fd4408f-2ba93f613bb3,administered,10019,capital_buffer,0.001056340333034953
fe3d59997fd4408f-2ba93f613bb3,administered,10019,expected_inflation,0.008473296422056664
f1494f7505120065-9de276e66ce4,administered,10020,borrower_leverage,0.004838831836758007
f1494f7505120065-9de276e66ce4,administered,10020,borrower_risk,0.001279476178037736
f1494f7505120065-9de276e66ce4,administered,10020,reserve_buffer,0.0009044451844714314
f1494f7505120065-9de276e66ce4,administered,10020,capital_buffer,5.613612945182635e-05
f1494f7505120065-9de276e66ce4,administered,10020,expected_inflation,0.010549866407696184
96006a378d852062-7f0f728c98da,administered,10021,borrower_leverage,0.005017275716665501
96006a378d852062-7f0f728c98da,administered,10021,borrower_risk,0.0012207424323281988
96006a378d852062-7f0f728c98da,administered,10021,reserve_buffer,0.001124750198785128
96006a378d852062-7f0f728c98da,administered,10021,capital_buffer,-0.00028194330029250857
96006a378d852062-7f0f728c98da,administered,10021,expected_inflation,0.00928007483213978
4d7d8ea0f5c4f30f-edb99f59e2b4,administered,10022,borrower_leverage,0.0050247413338897606
4d7d8ea0f5c4f30f-edb99f59e2b4,administered,10022,borrower_risk,0.0011774867180754107
4d7d8ea0f5c4f30f-edb99f59e2b4,administered,10022,reserve_buffer,-0.0006467609417920386
4d7d8ea0f5c4f30f-edb99f59e2b4,administered,10022,capital_buffer,0.001040765395495755
4d7d8ea0f5c4f30f-edb99f59e2b4,administered,10022,expected_inflation,0.007128506158640566
a32d0df047b8a97b-49893cad29c3,administered,10023,borrower_leverage,0.005206829347171352
a32d0df047b8a97b-49893cad29c3,administered,10023,borrower_risk,0.0011715605346370702
a32d0df047b8a97b-49893cad29c3,administered,10023,reserve_buffer,-0.0004926507049848826
a32d0df047b8a97b-49893cad29c3,administered,10023,capital_buffer,0.000916128676631032
a32d0df047b8a97b-49893cad29c3,administered,10023,expected_inflation,0.007373333213252889
4582bb52487f4da2-38618a6963cb,administered,10024,borrower_leverage,0.005049134892294981
4582bb52487f4da2-38618a6963cb,administered,10024,borrower_risk,0.0011905857442566327
4582bb52487f4da2-38618a6963cb,administered,10024,reserve_buffer,-0.0003400936730706275
4582bb52487f4da2-38618a6963cb,administered,10024,capital_buffer,0.0008116252229669209
4582bb52487f4da2-38618a6963cb,administered,10024,expected_inflation,0.007871237332902322
7d4c3d6d2b0d9809-3d5da4b5d377,administered,10025,borrower_leverage,0.004951266090012033
7d4c3d6d2b0d9809-3d5da4b5d377,administered,10025,borrower_risk,0.001241887686783435
7d4c3d6d2b0d9809-3d5da4b5d377,administered,10025,reserve_buffer,-0.00029470538086615
7d4c3d6d2b0d9809-3d5da4b5d377,administered,10025,capital_buffer,0.0007867188395783987
7d4c3d6d2b0d9809-3d5da4b5d377,administered,10025,expected_inflation,0.006370025215182518
a05da88dd9bc6210-4ed87178e265,administered,10026,borrower_leverage,0.005083384241197137
a05da88dd9bc6210-4ed87178e265,administered,10026,borrower_risk,0.0011887868795448658
a05da88dd9bc6210-4ed87178e265,administered,10026,reserve_buffer,-0.0007137255263724102
a05da88dd9bc6210-4ed87178e265,administered,10026,capital_buffer,0.00128190114103398
a05da88dd9bc6210-4ed87178e265,administered,10026,expected_inflation,0.01035967744343303
3f5531c0d1b66bdf-9a905b156be2,administered,10027,borrower_leverage,0.0048539137805400645
3f5531c0d1b66bdf-9a905b156be2,administered,10027,borrower_risk,0.0012212346315255884
3f5531c0d1b66bdf-9a905b156be2,administered,10027,reserve_buffer,-0.0014351623403964719
3f5531c0d1b66bdf-9a905b156be2,administered,10027,capital_buffer,0.0015239187691912994
3f5531c0d1b66bdf-9a905b156be2,administered,10027,expected_inflation,0.007790741982095403
eca6bb09c952fbc0-0abdd4c42bf1,administered,10028,borrower_leverage,0.004913085016889307
eca6bb09c952fbc0-0abdd4c42bf1,administered,10028,borrower_risk,0.001256092353937452
eca6bb09c952fbc0-0abdd4c42bf1,administered,10028,reserve_buffer,0.0010711117193030562
eca6bb09c952fbc0-0abdd4c42bf1,administered,10028,capital_buffer,-1.2655197478221028e-05
eca6bb09c952fbc0-0abdd4c42bf1,administered,10028,expected_inflation,0.010943137427999832
59f6a2e589098147-06299720faae,administered,10029,borrower_leverage,0.005046157036958486
59f6a2e589098147-06299720faae,administered,10029,borrower_risk,0.0012026681761182563
59f6a2e589098147-06299720faae,administered,10029,reserve_buffer,0.0001457010150687062
59f6a2e589098147-06299720faae,administered,10029,capital_buffer,0.0004200727838884899
59f6a2e589098147-06299720faae,administered,10029,expected_inflation,0.008171589016574773
a9bb02509e38f069-1c43656cbea8,market,10000,borrower_leverage,0.017165861359836998
a9bb02509e38f069-1c43656cbea8,market,10000,borrower_risk,0.003934918610666904
a9bb02509e38f069-1c43656cbea8,market,10000,reserve_buffer,-0.004620584102386442
a9bb02509e38f069-1c43656cbea8,market,10000,capital_buffer,-0.0014695515643489668
a9bb02509e38f069-1c43656cbea8,market,10000,expected_inflation,0.9586735584087364
d304f9538f507b9a-2f1d30643127,market,10001,borrower_leverage,0.01616811000716256
d304f9538f507b9a-2f1d30643127,market,10001,borrower_risk,0.004204262810057996
d304f9538f507b9a-2f1d30643127,market,10001,reserve_buffer,-0.00017041012439361752
d304f9538f507b9a-2f1d30643127,market,10001,capital_buffer,-0.004528911091518028
d304f9538f507b9a-2f1d30643127,market,10001,expected_inflation,0.9567978338116053
906bea845cb1e8f6-aa40a9962124,market,10002,borrower_leverage,0.017411268943412238
906bea845cb1e8f6-aa40a9962124,market,10002,borrower_risk,0.0036350715001384087
906bea845cb1e8f6-aa40a9962124,market,10002,reserve_buffer,-0.002035905285653517
906bea845cb1e8f6-aa40a9962124,market,10002,capital_buffer,-0.0030714882145683694
906bea845cb1e8f6-aa40a9962124,market,10002,expected_inflation,0.9652724108138925
5c443abe299615fa-f80c42f5ae29,market,10003,borrower_leverage,0.016050655361032406
5c443abe299615fa-f80c42f5ae29,market,10003,borrower_risk,0.004313701440487291
