outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
quoted_rate_dispersion,0.004962951624650709,0.004740894348477221,0.005191393823330884,804,1.5149051851678619,9.999000099990002e-05,0.0004999500049995
risk_rationing_slope,0.3911396354623889,0.38235779450694374,0.40001974752137853,809,3.056808150441758,9.999000099990002e-05,0.0004999500049995
defaults,0.0,0.0,0.0,809,,1.0,1.0
write_offs,0.0,0.0,0.0,809,,1.0,1.0
output_per_unit_credit,426.6556055742462,366.2618608607335,501.82420840501436,804,0.4305316578636505,9.999000099990002e-05,0.0004999500049995
