rate_regime,cumulative_new_credit_baseline,cumulative_new_credit_shock,cumulative_output_baseline,cumulative_output_shock,cumulative_new_credit_impulse,cumulative_output_impulse
administered,10.88530889328327,14.892215190947098,2921.2131796315807,2952.07655876904,4.0069062976638286,30.863379137459106
market,5.309999219715871,9.172367655176016,2912.571541187046,2943.0837264217075,3.8623684354601453,30.5121852346615
