outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
credit_weighted_productivity,0.07510710977261133,0.07205568288748215,0.07821372209725828,804,1.6708438050694852,9.999000099990002e-05,0.00019998000199980003
mean_unfunded_share,0.4931786004115832,0.48349082032778595,0.5028055318093201,809,3.495270128592932,9.999000099990002e-05,0.00019998000199980003
