run_id,mean_local_pass_through,borrower_leverage_rate_slope,quoted_rate_dispersion,risk_rationing_slope,scenario_id,rate_regime,replication,cumulative_output,cumulative_new_credit,defaults,write_offs,output_per_unit_credit
002eb612df8c8f246f36b772,0.25,0.007080901378447463,0.004964688804325177,0.08205626075487903,h2_h3_baseline,administered,701,4709.224395232431,10.502481506539251,0.0,0.0,448.39159129204705
0036dfdf9892647249d41724,0.25,0.007224728892130576,0.004991822813651347,0.24816158310787673,h2_h3_baseline,administered,350,4292.717274924805,12.942173773529655,0.0,0.0,331.68441021125875
0041a73b94072d88d52863f6,1.0,0.026474731786575598,0.009121754140911206,0.4733876320111783,h2_h3_baseline,market,563,4596.517781579741,9.033045473703005,0.0,0.0,508.85582220980945
0042eb5c270ede035334a0a2,1.0,0.03019612620130471,0.010850330895911035,0.5143176679776456,h2_h3_baseline,market,211,4355.274984066888,11.665088034144063,0.0,0.0,373.35980417111875
005b93f95c4543d4ec36dbfb,0.25,0.007444606145242466,0.005116012663365457,0.040407548719801234,h2_h3_baseline,administered,360,4632.36025784295,23.99986737064886,0.0,0.0,193.0160773933356
00bec7f335f61f2be144a865,0.25,0.007382736797712567,0.005160691055626233,0.05735286772964483,h2_h3_baseline,administered,383,4360.8213434900335,31.19515531694334,0.0,0.0,139.79162146121763
00c55fc40179e8c32b6be7ec,1.0,0.028952764906863923,0.012017358831036863,0.4698283635971862,h2_h3_baseline,market,407,4566.264947220284,18.081665163739988,0.0,0.0,252.535643474763
00d4bfdbaa5f35ba119eabf7,1.0,0.029020037529436618,0.01217505144684278,0.3687839990422883,h2_h3_baseline,market,348,4636.787971970893,7.475623840305941,0.0,0.0,620.2543187059465
00f9143217898f978c854bc3,1.0,0.029256189095405706,0.009029553858088723,0.4556449617849403,h2_h3_baseline,market,636,4485.967524410503,15.153712492953499,0.0,0.0,296.03092486388965
00fcd8cfe347a45810d39071,1.0,0.027288268702115485,0.010756956417425348,0.39052550315554585,h2_h3_baseline,market,463,4461.252841267368,5.824756908905046,0.0,0.0,765.9122794372558
01018e123c056a0eae7a7f34,1.0,0.029665694330074405,0.009682106142849414,0.5571383713968072,h2_h3_baseline,market,728,4493.023615975807,22.130961410572382,0.0,0.0,203.01981159433063
0125eac3149d2bfaff900913,1.0,0.02911566711958514,0.007129125896839645,0.5804600783906334,h2_h3_baseline,market,253,4498.027077328337,18.34642684141749,0.0,0.0,245.17183188902678
01416b8bd839b60d23673b80,0.25,0.0071334690428301,0.004691299220934357,0.04818995057322122,h2_h3_baseline,administered,235,4473.836098870415,22.426871520917825,0.0,0.0,199.4855187312957
0146b599e4a267454875de82,0.25,0.006956378931411167,0.005674463392903131,0.1066700325753027,h2_h3_baseline,administered,333,4485.876726361291,29.23280405886303,0.0,0.0,153.45352150715857
01488b31adc996c7fae410b1,1.0,0.02994841808269157,0.011512157061021341,0.5428663476191135,h2_h3_baseline,market,587,4618.241334917212,19.99729377281839,0.0,0.0,230.94331599981908
023e0960751e5da3458288b6,0.25,0.008354584023190973,0.0015155751667907588,0.0,h2_h3_baseline,administered,527,4767.760553405634,7.475623840305942,0.0,0.0,637.7742721215507
0247459f67861c13896a354d,0.25,0.007768293033362605,0.006750541783780115,0.17222206758581643,h2_h3_baseline,administered,632,4123.889151397604,35.088709400436024,0.0,0.0,117.52752443343952
02a3d170e693833d7ec78121,0.25,0.007480965602290559,0.005710337138477111,0.03353123702593526,h2_h3_baseline,administered,788,4338.802493420094,31.51017252494689,0.0,0.0,137.6952947491806
02a58e6abba1e7ba746d0b8b,1.0,0.028828345892370884,0.011088518059859293,0.49816890256361457,h2_h3_baseline,market,156,4514.465165754389,23.26787920295224,0.0,0.0,194.0213427436735
0313306b2be17895904bd4f4,0.25,0.0073707144957303105,0.004219270123068021,0.05575571177344645,h2_h3_baseline,administered,710,4596.690113038267,20.673621002828384,0.0,0.0,222.3456699921793
0343016bd64173dee9605014,1.0,0.029482911145275483,0.008966277327357454,0.46394482781012714,h2_h3_baseline,market,425,4206.871023163616,10.777357703107729,0.0,0.0,390.34345328916146
034e6cf07b64e8e5767b364f,0.25,0.007428081679826667,0.004628704599606715,0.06691929489073747,h2_h3_baseline,administered,432,4460.867201753241,33.03987994585026,0.0,0.0,135.0146310780865
036ac55aa72a4e487a7e769f,1.0,0.029297020298353203,0.007801927722940667,0.5080434637549124,h2_h3_baseline,market,474,4490.115568993639,9.515846180056105,0.0,0.0,471.85667822209007
03b80372ae62a646d7714ad3,1.0,0.029661207917679358,0.009276483920696944,0.5184065153556762,h2_h3_baseline,market,769,4497.432059676603,24.59168759133976,0.0,0.0,182.88423854491484
040228d02170b90153d38c5c,1.0,0.02924154766441515,0.013902637429716902,0.46417971916719947,h2_h3_baseline,market,294,4299.5929123661235,14.733208651936291,0.0,0.0,291.8300428604231
