outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
mean_local_pass_through,0.75,0.75,0.75,804,,9.999000099990002e-05,0.00019998000199980003
borrower_leverage_rate_slope,0.021451725059113035,0.021284020110256416,0.02162503035245077,804,8.776202172995534,9.999000099990002e-05,0.00019998000199980003
