rate_regime,runs,mean_credit_weighted_productivity,undefined_productivity_runs,zero_credit_runs,mean_unfunded_share
administered,809,1.0754569694982945,0,0,0.03811781811180232
market,809,1.1510373946149166,5,5,0.5312964185233855
