comparison,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
reserve_low_vs_high_unavailable,cumulative_new_credit,3.6599786501261677,2.5277129101376103,4.846137721349827,40,0.9725151999802164,9.999000099990002e-05,0.00019998000199980003
reserve_low_vs_high_unavailable,unresolved_liquidity_shortfall,-0.7372829683408402,-0.913655040331798,-0.5726809615489497,40,-1.305101013977291,9.999000099990002e-05,0.00019998000199980003
facility_unavailable_vs_penalty_low_reserve,cumulative_new_credit,3.1403903854890567,2.25834993329104,4.038089172385792,40,1.0803090737918926,9.999000099990002e-05,0.00019998000199980003
facility_unavailable_vs_penalty_low_reserve,unresolved_liquidity_shortfall,-0.7372829683408402,-0.913655040331798,-0.5726809615489497,40,-1.305101013977291,9.999000099990002e-05,0.00019998000199980003
