outcome,contrast,estimate,lower_95,upper_95,n,standardized_effect,p_value
requested_principal,market_minus_administered,-0.4334739259259256,-1.481800174074073,0.574723446296295,30,-0.14935701964606635,0.4326567343265673
approved_principal,market_minus_administered,-0.4296650138888887,-0.6989805458333329,-0.15096971458333303,30,-0.5540219991056143,0.0047995200479952005
nominal_rate,market_minus_administered,0.0055183333333333326,0.003829444444444445,0.007322263888888888,30,1.0999992254794133,9.999000099990002e-05
