run_id,scenario_id,rate_regime,replication,parameter_set_id,cumulative_new_credit,cumulative_output,shock
70e441d5fa60f079bd357efc,local_calibrated_shock,administered,5,baseline-calibrated,26.33989337482796,2831.5206641515533,True
13f7915518de4bada3beee33,local_calibrated_shock,administered,6,baseline-calibrated,17.676735539056754,2843.1417949572347,True
c8ef82bf06016c13506876d0,local_calibrated_shock,administered,7,baseline-calibrated,11.367128764331447,2938.2638472756134,True
fb5f33e526884438350baa13,local_calibrated_shock,administered,8,baseline-calibrated,23.43919558262592,2977.9456733754264,True
dc2a0e382472718cb9a62e37,local_calibrated_shock,administered,9,baseline-calibrated,4.633380493387625,2930.2091627936898,True
b61e78aa40f5791ec9643a5e,local_calibrated_shock,administered,10,baseline-calibrated,18.482701234339736,2971.612332410873,True
89c13317fd7d0fe0506a5774,local_calibrated_shock,administered,11,baseline-calibrated,12.834254596710707,2928.4362427758238,True
b2bbe0a5a23573a802a6f9b1,local_calibrated_shock,administered,12,baseline-calibrated,18.00768763615363,2726.265447626377,True
3f2fbc249fe9b6a13d20544b,local_calibrated_shock,administered,13,baseline-calibrated,10.169963266082874,3024.539659249794,True
13cd4b01966b53d18c02ba60,local_calibrated_shock,administered,14,baseline-calibrated,7.748172626150427,2957.078720058402,True
564267bb09c8a03a558e8802,local_calibrated_shock,administered,15,baseline-calibrated,16.508669314008948,2857.4700961166395,True
1bde55af292ab5291f272c74,local_calibrated_shock,administered,16,baseline-calibrated,20.382755627084165,2962.2971207830105,True
97a5a8ba59d971d30d95135f,local_calibrated_shock,administered,17,baseline-calibrated,13.59531395725698,3020.6635001764976,True
e5d047bf33e7891f1caa0ed0,local_calibrated_shock,administered,18,baseline-calibrated,7.027865120704281,2950.2862273596943,True
f9d281b4b2cee2876b96fedd,local_calibrated_shock,administered,19,baseline-calibrated,16.62547593651373,2910.13735528728,True
645e4446f312b8f90f537746,local_calibrated_shock,market,0,baseline-calibrated,9.562568829058014,2880.6507694138263,True
5e4d0426a8ff3d6f15c4e837,local_calibrated_shock,market,1,baseline-calibrated,10.29845055083813,2943.5005324288945,True
634c4d7fb59008c2032ff509,local_calibrated_shock,market,2,baseline-calibrated,5.127810727959855,3115.7358133540815,True
