regime,coefficient,n,mean,std,se,ci_low,ci_high
administered,borrower_leverage,30,0.005143267862543288,0.00010878304995796163,1.9860976778729e-05,0.005104340348056979,0.0051821953770295965
administered,borrower_risk,30,0.0011580405710571767,2.937975045888369e-05,5.363984020067784e-06,0.001147527162377844,0.0011685539797365095
administered,expected_inflation,30,0.010862629278566538,0.0006999376994706503,0.00012779055561611564,0.010612159789558952,0.011113098767574124
administered,reserve_buffer,30,0.003945826002539859,0.00025800858700752137,4.710570771135126e-05,0.003853498815425611,0.004038153189654108
market,borrower_leverage,30,0.016994601698879355,0.0008339275843953091,0.00015225364976636797,0.016696184545337275,0.017293018852421436
market,borrower_risk,30,0.004288557426223608,0.00032071788964698514,5.855480758503545e-05,0.004173790003356938,0.004403324849090277
market,expected_inflation,30,0.9804402172745496,0.03139034599106455,0.005731066862399305,0.9692073262242469,0.9916731083248522
market,reserve_buffer,30,0.0029256880298500574,0.00035964357121257305,6.566163220494728e-05,0.002796991230728361,0.003054384828971754
