hypothesis,regime,outcome,pilot_n,observed_effect,pilot_std,required_n_80pct
H7,scarce_penalty_minus_unavailable:administered,emergency_borrowing,30,1136.3516899123824,143.85467638170653,1
H7,scarce_penalty_minus_unavailable:administered,liquidity_shortfall,30,-1408.199751103356,216.85695774967104,1
H7,scarce_penalty_minus_unavailable:administered,final_credit,30,57.184819732197326,0.0,0
H7,scarce_penalty_minus_unavailable:market,new_credit,30,303.18147910563704,49.75506729250539,1
H7,scarce_penalty_minus_unavailable:market,output,30,0.0,0.0,
H7,scarce_penalty_minus_unavailable:market,inflation_volatility,30,0.0,0.0,
H7,scarce_penalty_minus_unavailable:market,defaults,30,0,0.0,
H7,scarce_penalty_minus_unavailable:market,write_offs,30,0.0,0.0,
H7,scarce_penalty_minus_unavailable:market,interbank_volume,30,336.4458659067603,6.673532131107944,1
H7,scarce_penalty_minus_unavailable:market,emergency_borrowing,30,1435.747628262247,282.4183420410735,1
H7,scarce_penalty_minus_unavailable:market,liquidity_shortfall,30,-1408.1997511033562,216.85695774967112,1
H7,scarce_penalty_minus_unavailable:market,final_credit,30,22.023618304625867,23.46841584352012,9
H7,scarce_limited_minus_unavailable:administered,new_credit,30,30.0,0.0,0
H7,scarce_limited_minus_unavailable:administered,output,30,0.0,0.0,
H7,scarce_limited_minus_unavailable:administered,inflation_volatility,30,0.0,0.0,
H7,scarce_limited_minus_unavailable:administered,defaults,30,0,0.0,
H7,scarce_limited_minus_unavailable:administered,write_offs,30,0.0,0.0,
H7,scarce_limited_minus_unavailable:administered,interbank_volume,30,42.62873648064278,5.023423005923163,1
H7,scarce_limited_minus_unavailable:administered,emergency_borrowing,30,533.3681871783941,14.012815089715293,1
H7,scarce_limited_minus_unavailable:administered,liquidity_shortfall,30,-709.7203276872335,17.79679762866785,1
H7,scarce_limited_minus_unavailable:administered,final_credit,30,0.0,0.0,
H7,scarce_limited_minus_unavailable:market,new_credit,30,30.0,0.0,0
H7,scarce_limited_minus_unavailable:market,output,30,0.0,0.0,
H7,scarce_limited_minus_unavailable:market,inflation_volatility,30,0.0,0.0,
H7,scarce_limited_minus_unavailable:market,defaults,30,0,0.0,
H7,scarce_limited_minus_unavailable:market,write_offs,30,0.0,0.0,
H7,scarce_limited_minus_unavailable:market,interbank_volume,30,-7.491499011026505,11.031757685578476,18
H7,scarce_limited_minus_unavailable:market,emergency_borrowing,30,412.09278483329985,17.127700595589985,1
H7,scarce_limited_minus_unavailable:market,liquidity_shortfall,30,-124.84141027419504,129.5122154221983,9
H7,scarce_limited_minus_unavailable:market,final_credit,30,0.0,0.0,
H7,scarce_penalty_minus_limited:administered,new_credit,30,325.5384993609573,0.0,0
H7,scarce_penalty_minus_limited:administered,output,30,0.0,0.0,
H7,scarce_penalty_minus_limited:administered,inflation_volatility,30,0.0,0.0,
H7,scarce_penalty_minus_limited:administered,defaults,30,0,0.0,
H7,scarce_penalty_minus_limited:administered,write_offs,30,0.0,0.0,
H7,scarce_penalty_minus_limited:administered,interbank_volume,30,345.8622193059574,0.8553950646379845,1
H7,scarce_penalty_minus_limited:administered,emergency_borrowing,30,602.9835027339883,130.60744792932306,1
H7,scarce_penalty_minus_limited:administered,liquidity_shortfall,30,-698.4794234161226,200.3342490076359,1
H7,scarce_penalty_minus_limited:administered,final_credit,30,57.184819732197326,0.0,0
H7,scarce_penalty_minus_limited:market,new_credit,30,273.18147910563704,49.75506729250539,1
H7,scarce_penalty_minus_limited:market,output,30,0.0,0.0,
H7,scarce_penalty_minus_limited:market,inflation_volatility,30,0.0,0.0,
H7,scarce_penalty_minus_limited:market,defaults,30,0,0.0,
H7,scarce_penalty_minus_limited:market,write_offs,30,0.0,0.0,
H7,scarce_penalty_minus_limited:market,interbank_volume,30,343.93736491778674,12.834007462690918,1
H7,scarce_penalty_minus_limited:market,emergency_borrowing,30,1023.6548434289471,294.4554012889777,1
H7,scarce_penalty_minus_limited:market,liquidity_shortfall,30,-1283.358340829161,335.4201106417803,1
H7,scarce_penalty_minus_limited:market,final_credit,30,22.023618304625867,23.46841584352012,9
