regime,estimand,outcome,n,mean,std,se,ci_low,ci_high
administered,demand_shock_minus_baseline,new_credit,30,35.86998868992009,0.0,0.0,35.86998868992009,35.86998868992009
administered,demand_shock_minus_baseline,output,30,26.823482854447185,0.6776032264729138,0.12371285739249888,26.581005653957888,27.065960054936482
administered,demand_shock_minus_baseline,consumption,30,22.831815000000006,0.0,0.0,22.831815000000006,22.831815000000006
administered,demand_shock_minus_baseline,mean_inflation,30,-0.0006824680248917153,1.7439001528300002e-05,3.183911505805659e-06,-0.0006887084914430943,-0.0006762275583403363
administered,demand_shock_minus_baseline,defaults,30,0,0.0,0.0,0.0,0.0
administered,demand_shock_minus_baseline,write_offs,30,0.0,0.0,0.0,0.0,0.0
administered,demand_shock_minus_baseline,final_deposit_money,30,1.5974843826668197,0.011517828496178736,0.0021028581602776327,1.5933627806726756,1.6016059846609638
administered,demand_shock_minus_baseline,final_credit,30,5.233562843136042,0.0,0.0,5.233562843136042,5.233562843136042
market,demand_shock_minus_baseline,new_credit,30,-68.60851199999999,63.683570129420715,11.626975967448638,-91.39738489619933,-45.81963910380066
market,demand_shock_minus_baseline,output,30,26.823482854447185,0.6776032264729138,0.12371285739249888,26.581005653957888,27.065960054936482
market,demand_shock_minus_baseline,consumption,30,22.831815000000006,0.0,0.0,22.831815000000006,22.831815000000006
market,demand_shock_minus_baseline,mean_inflation,30,-0.0006824680248917153,1.7439001528300002e-05,3.183911505805659e-06,-0.0006887084914430943,-0.0006762275583403363
market,demand_shock_minus_baseline,defaults,30,0,0.0,0.0,0.0,0.0
market,demand_shock_minus_baseline,write_offs,30,0.0,0.0,0.0,0.0,0.0
market,demand_shock_minus_baseline,final_deposit_money,30,-22.023937387354575,30.654390226201294,5.59670033781878,-32.993470049479384,-11.054404725229766
market,demand_shock_minus_baseline,final_credit,30,-27.8045696,34.257189989868266,6.254478571397008,-40.06334759993813,-15.545791600061866
market_minus_administered,difference_in_differences,new_credit,30,-104.47850068992008,63.683570129420715,11.626975967448638,-127.26737358611942,-81.68962779372075
market_minus_administered,difference_in_differences,output,30,0.0,0.0,0.0,0.0,0.0
market_minus_administered,difference_in_differences,consumption,30,0.0,0.0,0.0,0.0,0.0
market_minus_administered,difference_in_differences,mean_inflation,30,0.0,0.0,0.0,0.0,0.0
market_minus_administered,difference_in_differences,defaults,30,0,0.0,0.0,0.0,0.0
market_minus_administered,difference_in_differences,write_offs,30,0.0,0.0,0.0,0.0,0.0
market_minus_administered,difference_in_differences,final_deposit_money,30,-23.621421770021396,30.653064453188527,5.596458285890372,-34.59048001036653,-12.652363529676267
market_minus_administered,difference_in_differences,final_credit,30,-33.03813244313604,34.257189989868266,6.254478571397008,-45.296910443074175,-20.77935444319791
