comparison,coefficient,n,mean,std,se,ci_low,ci_high
market_minus_administered,borrower_leverage,30,0.011851333836336067,0.0007873258675657976,0.00014374537925770413,0.011569592892990966,0.012133074779681167
market_minus_administered,borrower_risk,30,0.003130516855166431,0.0003102178044549012,5.6637763079892e-05,0.0030195068395298427,0.0032415268708030193
market_minus_administered,reserve_buffer,30,-0.0010201379726898015,0.00030762470940592235,5.616433086253177e-05,-0.0011302200611803636,-0.0009100558841992392
market_minus_administered,expected_inflation,30,0.9695775879959829,0.030877410745556364,0.005637418127564543,0.9585282484659564,0.9806269275260094
