run_id,borrower_leverage_slope,liquidity_component_slope,capital_component_slope,inflation_component_slope,scenario_id,rate_regime,replication
024bfd4c51b8de0ed39d2cf1,0.007664585042439076,-1.5388406082628747,-2.220446049250313e-16,0.001395803819874875,h2_h3_baseline,administered,14
0594c5aedd46942ba4095f77,0.02916208918944373,8.494574738767758,-1.7763568394002505e-15,0.0014289546359332569,h3_positive_demand,market,10
05ca98644d43c8f5d512a10e,0.007557975444847496,-0.19913499334102483,0.0,0.001385422184495467,h2_h3_baseline,administered,1
06e9641a95b1be89d30dc366,0.030124189621525903,3.3694502414934497,-8.881784197001252e-16,0.0013645207333535612,h3_positive_demand,market,0
070b667232f92b3fd7d46c52,0.007379330218878691,0.15848587675068918,0.0,0.0013906664023782833,h3_positive_demand,administered,13
105b628e41d15939bcbaa359,0.007558271215717136,3.979997877682856,-1.3322676295501878e-15,0.001398750948987453,h3_positive_demand,administered,7
17e26a7d15dbb127c8cbeb34,0.029006638314611293,1.8956518912308367,-2.220446049250313e-16,0.001414635672337338,h2_h3_baseline,market,13
1eb27a799ac47358dc250369,0.007282613943806843,2.8044707307772976,-4.440892098500626e-16,0.0013979850045046703,h2_h3_baseline,administered,3
2a4ccb1324d8897002b1554e,0.007570299264524225,1.0106771842885696,0.0,0.0013865920886408016,h2_h3_baseline,administered,8
2b9d7629182f7250c8c35712,0.007447532578705697,0.7680183187827074,0.0,0.0013818232248784513,h2_h3_baseline,administered,0
2f922ed94bd181d9510c4674,0.027989660963603058,6.629052853596469,8.881784197001252e-16,0.0014210082525513924,h3_positive_demand,market,12
343d732c711bae1bb5570b42,0.029922027869714183,2.9262288152563105,-8.881784197001252e-16,0.0013676217455442514,h2_h3_baseline,market,16
34c9deda225cd7b82f4c4ca3,0.029701078457516655,2.342457170735097,0.0,0.0013760016580603093,h3_positive_demand,market,16
358327efee3916f7b09f3b32,0.029646176663080503,-1.9011909038881545,-2.220446049250313e-16,0.001440948234812738,h2_h3_baseline,market,4
4033a0ab6a144416fb8f4887,0.007496826877067115,0.005179418781644396,0.0,0.0014018410627446255,h3_positive_demand,administered,2
456d90a214dbc2b1fae5229a,0.02886643281011691,-6.249501238945025,8.881784197001252e-16,0.0014653443997338855,h2_h3_baseline,market,14
46e261672aa6a768f6d17a19,0.007434872768774689,0.14525725541770737,0.0,0.0014005648563891141,h2_h3_baseline,administered,2
4a4431a4f82796cde2fe4dfb,0.007268731975077916,0.26755262332606833,0.0,0.0013983389169042462,h3_positive_demand,administered,18
50877cb09c987de5b752da63,0.007624070781330126,0.45740152233896697,-1.1102230246251565e-16,0.0013914557039040629,h3_positive_demand,administered,17
53b9fb00bd0e447904306da5,0.029603168528661426,-0.6923822803979461,1.1102230246251565e-16,0.0014225649603653696,h2_h3_baseline,market,17
54f741aabb7f8e8c2aa639d1,0.029037716894903042,-6.07997660149766,-8.881784197001252e-16,0.00141959064999446,h3_positive_demand,market,9
58db8d432564972c29ccc1e4,0.007650361928135335,4.238905165382567,-8.881784197001252e-16,0.0013880271879242016,h2_h3_baseline,administered,7
5ad0c0d132797bd435eb90c2,0.029723874495706598,2.390556677404012,0.0,0.0013976125922031855,h3_positive_demand,market,8
5d2ca92257309e120b2c8e59,0.007496208374234711,0.7148186137092524,0.0,0.0013802695055879636,h2_h3_baseline,administered,19
685b776fb4297f96dd505bf9,0.0074354790634828015,-0.018042766544258886,-3.469446951953614e-18,0.0013962114098414495,h2_h3_baseline,administered,17
69e0d234f661b74926da47c8,0.029512136283090164,1.5702975995958544,4.440892098500626e-16,0.001376509038693633,h3_positive_demand,market,5
6b3c100889a6c409e15bf959,0.028221582222449713,16.18235498507553,-3.552713678800501e-15,0.0014379770431714803,h3_positive_demand,market,7
6ef0bac4d8f4140e6828c37c,0.007305732216586249,-0.9751767277150222,-1.1102230246251565e-16,0.001409296809854675,h3_positive_demand,administered,4
749b6270f08e95d7038ea3a0,0.02925138086376962,3.5247891146970174,-8.881784197001252e-16,0.0014124409967954912,h3_positive_demand,market,13
759bfbe0e3974f8f054ca1c3,0.007562103079321583,3.401624157517992,4.440892098500626e-16,0.0013948469332435173,h3_positive_demand,administered,15
