run_id,cumulative_new_credit,cumulative_output,unresolved_liquidity_shortfall,mean_unfunded_share,cumulative_consumption,defaults,write_offs,resolution_cost,credit_weighted_productivity,scenario_id,rate_regime,replication
024bfd4c51b8de0ed39d2cf1,16.757856775352487,4467.345241559818,0.0,0.04049242424242414,2741.3667282751167,0,0.0,0.0,1.0522137371049134,h2_h3_baseline,administered,14
0594c5aedd46942ba4095f77,5.929882869159346,4592.441000723982,0.0,0.6142318179708531,3052.7807601244926,0,0.0,0.0,1.1334692561933555,h3_positive_demand,market,10
05ca98644d43c8f5d512a10e,21.92736900464482,4578.761678411936,0.0,0.04398910904099601,2843.784251046069,0,0.0,0.0,1.164672312475397,h2_h3_baseline,administered,1
06e9641a95b1be89d30dc366,9.959711345574268,4842.321174713009,0.0,0.6703141801388176,2909.7655386896076,0,0.0,0.0,1.2089923606892417,h3_positive_demand,market,0
070b667232f92b3fd7d46c52,17.516552207840707,4519.743995729163,0.0,0.04705789512774803,2952.424225935232,0,0.0,0.0,1.107856312151183,h3_positive_demand,administered,13
105b628e41d15939bcbaa359,23.563789313297686,4681.089948776201,0.0,0.022334008584008556,2931.294852277522,0,0.0,0.0,1.129947430367777,h3_positive_demand,administered,7
17e26a7d15dbb127c8cbeb34,4.718987549193124,4500.46848221517,0.0,0.6497210520263945,2864.717580390697,0,0.0,0.0,1.3104090854136348,h2_h3_baseline,market,13
1eb27a799ac47358dc250369,18.346426841417497,4478.299377510793,0.0,0.035466269841269764,2754.4229394654135,0,0.0,0.0,1.0804507171928246,h2_h3_baseline,administered,3
2a4ccb1324d8897002b1554e,19.8882742584806,4571.381555211191,0.0,0.04039166171519104,2799.6673498047294,0,0.0,0.0,1.0274523525569321,h2_h3_baseline,administered,8
2b9d7629182f7250c8c35712,22.932183707138524,4860.362707367176,0.0,0.010329301924129503,2842.410499561022,0,0.0,0.0,1.119756438057207,h2_h3_baseline,administered,0
2f922ed94bd181d9510c4674,21.453483000044653,4538.826983844196,0.0,0.3848845224248582,2735.9615392001274,0,0.0,0.0,1.0649957776799608,h3_positive_demand,market,12
343d732c711bae1bb5570b42,11.727384899479945,4442.2879949608405,0.0,0.6646367285846307,2696.383567391333,0,0.0,0.0,1.1149709927915756,h2_h3_baseline,market,16
34c9deda225cd7b82f4c4ca3,18.085558717823485,4456.79733423227,0.0,0.5724759676438562,2782.307204382989,0,0.0,0.0,1.10015614347671,h3_positive_demand,market,16
358327efee3916f7b09f3b32,10.029795319077136,4570.72469227116,0.0,0.5493941475191475,2576.934498916121,0,0.0,0.0,1.1895001869963584,h2_h3_baseline,market,4
4033a0ab6a144416fb8f4887,31.506639643622744,4441.672561840576,0.0,0.017086995717827354,2473.0982078696525,0,0.0,0.0,1.1019664674271439,h3_positive_demand,administered,2
456d90a214dbc2b1fae5229a,8.3477799550083,4456.866933754019,0.0,0.47562441489707785,2736.581052019195,0,0.0,0.0,1.1001384630990467,h2_h3_baseline,market,14
46e261672aa6a768f6d17a19,26.934893055315772,4347.354221262953,0.0,0.03255312902147788,2312.3052845856223,0,0.0,0.0,1.1050745001728557,h2_h3_baseline,administered,2
4a4431a4f82796cde2fe4dfb,26.1607898869873,4450.455805222276,0.0,0.012933455433455402,2811.645758720882,0,0.0,0.0,1.021921747124858,h3_positive_demand,administered,18
50877cb09c987de5b752da63,15.418474170631004,4696.817386669963,0.0,0.009259259259259236,2999.076048700146,0,0.0,0.0,1.0311494507490804,h3_positive_demand,administered,17
53b9fb00bd0e447904306da5,7.413326974970057,4687.857394613978,0.0,0.4996362433862433,2917.67010723978,0,0.0,0.0,1.080718976853126,h2_h3_baseline,market,17
54f741aabb7f8e8c2aa639d1,6.743635672609316,4521.730694260362,0.0,0.5752702975129446,3165.9916109231626,0,0.0,0.0,1.2082497603003879,h3_positive_demand,market,9
58db8d432564972c29ccc1e4,20.37107496483369,4673.562379358312,0.0,0.020576562168697538,2848.654627663682,0,0.0,0.0,1.123093061331742,h2_h3_baseline,administered,7
5ad0c0d132797bd435eb90c2,12.805899380607416,4567.145294234427,0.0,0.48039767422120355,2873.851508339066,0,0.0,0.0,1.0765274202032795,h3_positive_demand,market,8
5d2ca92257309e120b2c8e59,34.08860698971607,4551.149108646862,0.0,0.03163438096036131,2858.0337284293923,0,0.0,0.0,1.0326137045103894,h2_h3_baseline,administered,19
685b776fb4297f96dd505bf9,13.627439292224372,4694.801194871962,0.0,0.018518518518518472,2921.558619286522,0,0.0,0.0,1.038864105815427,h2_h3_baseline,administered,17
69e0d234f661b74926da47c8,22.73056873943025,4630.530965043459,0.0,0.46214349743357963,2709.563621259003,0,0.0,0.0,1.1391849567162498,h3_positive_demand,market,5
6b3c100889a6c409e15bf959,9.765033641399635,4661.97106168843,0.0,0.6016002121928211,2922.230348247696,0,0.0,0.0,1.171459802765785,h3_positive_demand,market,7
6ef0bac4d8f4140e6828c37c,25.91549597972726,4616.849094222717,0.0,0.033510101010100955,2691.7988662552934,0,0.0,0.0,1.1227868889459727,h3_positive_demand,administered,4
749b6270f08e95d7038ea3a0,7.222542824878915,4505.741906583923,0.0,0.552164936111926,2945.139183441266,0,0.0,0.0,1.2765817339060297,h3_positive_demand,market,13
759bfbe0e3974f8f054ca1c3,28.734429136175958,4847.756272165571,0.0,0.006578947368421036,3051.288637859641,0,0.0,0.0,1.1121450601539846,h3_positive_demand,administered,15
7b3798feaf80c0a757fca2c7,23.96482538389743,4520.322342173142,0.0,0.06372446997446984,3066.3419525427503,0,0.0,0.0,0.9919090949207756,h3_positive_demand,administered,11
7cc809af418da6fbebbb77f8,14.464553420175296,4436.436339464413,0.0,0.48653432532736146,2804.079580698123,0,0.0,0.0,1.0531305773064235,h3_positive_demand,market,18
