outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
credit_weighted_productivity,0.08069856472977796,0.0642903026884659,0.09902108262302418,20,1.9636849932893974,9.999000099990002e-05,0.00019998000199980003
mean_unfunded_share,0.5338672090699552,0.47770997752848804,0.5933603309933605,20,3.916826550105562,9.999000099990002e-05,0.00019998000199980003
