call_id,run_id,period,agent_id,task_type,provider,model_id,prompt_version,prompt_hash,temperature,attempt,latency_seconds,status,error_type,error_message
99fe3478253e0801-9baeec73e144-p1-firm_1-credit_demand-a0,99fe3478253e0801-9baeec73e144,1,firm_1,credit_demand,ollama,deepseek-r1:8b,0.1,3a7c22958725a17eb22cbb01871f47b8d22063e6e42f205b61fcf48df59abaa3,0.0,0,6.166710541816428,success,,
99fe3478253e0801-9baeec73e144-p1-firm_2-credit_demand-a0,99fe3478253e0801-9baeec73e144,1,firm_2,credit_demand,ollama,deepseek-r1:8b,0.1,05878ae1d73188b1b57bc7eb5bdc14d5e0af3d71b3f9fad1ac8e42098d1ca4d4,0.0,0,10.692207375075668,success,,
a20f19fcdf31e07d-53f7b05f630f-p1-bank_0-loan_evaluation_firm_1-a0,a20f19fcdf31e07d-53f7b05f630f,1,bank_0,loan_evaluation_firm_1,ollama,deepseek-r1:8b,0.1,7dd72b732221bf7085a570c17fd7d9aae9c75dcba5d581ec175d1c142fc2e506,0.0,0,30.6569849580992,success,,
a20f19fcdf31e07d-53f7b05f630f-p1-bank_0-loan_evaluation_firm_2-a0,a20f19fcdf31e07d-53f7b05f630f,1,bank_0,loan_evaluation_firm_2,ollama,deepseek-r1:8b,0.1,4f7a357132169c9533faee4fcca9714b5c1fedbbf859d06a53494b6d7af196d1,0.0,0,37.28003045800142,success,,
a20f19fcdf31e07d-53f7b05f630f-p1-bank_1-loan_evaluation_firm_1-a0,a20f19fcdf31e07d-53f7b05f630f,1,bank_1,loan_evaluation_firm_1,ollama,deepseek-r1:8b,0.1,423d718fd3a85b114de4bd7202177c8919fa414e967d635ddf6977da44af6c4f,0.0,0,4.187003792030737,success,,
a20f19fcdf31e07d-53f7b05f630f-p1-bank_1-loan_evaluation_firm_2-a0,a20f19fcdf31e07d-53f7b05f630f,1,bank_1,loan_evaluation_firm_2,ollama,deepseek-r1:8b,0.1,ee9dfe8664393a0325529550151f9a6156d5a2368241bc6ac76b689ba670bcec,0.0,0,17.24835225008428,success,,
a20f19fcdf31e07d-53f7b05f630f-p1-firm_0-credit_demand-a0,a20f19fcdf31e07d-53f7b05f630f,1,firm_0,credit_demand,ollama,deepseek-r1:8b,0.1,283961cb176b44543ad3325b7c7b62191ae07e8e272c91b23d0b72c8f7a29b14,0.0,0,9.788423958001658,success,,
a20f19fcdf31e07d-53f7b05f630f-p1-firm_1-credit_demand-a0,a20f19fcdf31e07d-53f7b05f630f,1,firm_1,credit_demand,ollama,deepseek-r1:8b,0.1,ee874108a430a9dd69f8f661d36107c6cf54bf3c52a7944ac6b4d5d96d252edd,0.0,0,12.988441500114277,success,,
a20f19fcdf31e07d-53f7b05f630f-p1-firm_2-credit_demand-a0,a20f19fcdf31e07d-53f7b05f630f,1,firm_2,credit_demand,ollama,deepseek-r1:8b,0.1,be92ff7c62af3c944bdd57bb7f96fe683113fd2c91a80b475e34e9e9f0f10346,0.0,0,6.7415304579772055,success,,
cd8dab642b5773ae-27c4779128f9-p1-bank_0-loan_evaluation_firm_2-a0,cd8dab642b5773ae-27c4779128f9,1,bank_0,loan_evaluation_firm_2,ollama,deepseek-r1:8b,0.1,6fbc707fbe41ed612112b64c8355e70cd6ed41e1f781f1be05a506ea6cfa606c,0.0,0,6.451042791828513,success,,
