run_id,scenario_id,rate_regime,replication,run_id_1,cumulative_new_credit,cumulative_output,unresolved_liquidity_shortfall,mean_unfunded_share,credit_weighted_productivity,opening_deposits,deposit_hhi
b955cc9a0ccc3df3c00521aa,addendum_concentration_100_5_high,administered,0,b955cc9a0ccc3df3c00521aa,7658.5534980111115,12047.026622307387,0.0,0.39539500557281393,1.0328757311895018,872.9228963066287,0.42440599921541394
3f2b3e87bf3ad08df3d8b938,addendum_concentration_100_5_high,administered,1,3f2b3e87bf3ad08df3d8b938,5121.070110426296,11339.46143407168,0.0,0.3828391768339059,1.0617541838124782,1318.3804365536048,0.38890387636238327
689e442413ba5078626be1d5,addendum_concentration_100_5_high,administered,2,689e442413ba5078626be1d5,4575.29564055176,12789.068590229317,0.0,0.0594860469650908,1.0170677471637282,2350.3227503787944,0.2925771048643734
b37e0bc4017ac1208b0f32a5,addendum_concentration_100_5_high,administered,3,b37e0bc4017ac1208b0f32a5,5651.143404709145,13735.922759364961,0.0,0.1061246426330299,1.0584083916272673,2492.2391104876497,0.3017788209915552
50664b432495be2312281bbe,addendum_concentration_100_5_high,administered,4,50664b432495be2312281bbe,3258.705454450696,15142.36046400151,0.0,0.14885251313665263,1.0682541056447077,2881.9183563605575,0.2752228819422895
c52faab62104e2cbd84e62da,addendum_concentration_100_5_high,administered,5,c52faab62104e2cbd84e62da,3921.584777808166,19365.046401340485,0.0,0.1643441584988298,1.0841210733537592,4111.346111266507,0.30179374398864384
755be8da5bdd1ae92d827c17,addendum_concentration_100_5_high,administered,6,755be8da5bdd1ae92d827c17,4042.902281018242,12027.108732416697,0.0,0.34905606904331204,1.0520567517421986,1396.249446134742,0.2689180758695432
676850e00e82d403d2d5b047,addendum_concentration_100_5_high,administered,7,676850e00e82d403d2d5b047,5441.002391756937,10925.08504306286,0.0,0.42026541423727554,1.0658693458472237,749.7087188904225,0.37212077134746846
3e00da7f2834e1a334484ce1,addendum_concentration_100_5_high,administered,8,3e00da7f2834e1a334484ce1,5914.126725726906,11766.704726705648,0.0,0.3086040515105269,1.0478741580484405,1239.566156421079,0.24091768033579133
0d1ca6d8ed0ad1afd33e5925,addendum_concentration_100_5_high,administered,9,0d1ca6d8ed0ad1afd33e5925,4475.042969314398,11050.88778886498,0.0,0.5062060173642,1.076399234722302,1107.511382974718,0.3247849048904736
7b9295231ebc13343a083d0d,addendum_concentration_100_5_high,administered,10,7b9295231ebc13343a083d0d,9166.722777337742,13020.356565348742,0.0,0.26136523853518945,1.0351629758600451,1205.0888431279895,0.23479450816078645
7cba73db733f82b248fafe91,addendum_concentration_100_5_high,administered,11,7cba73db733f82b248fafe91,7376.479658584089,11925.928284322097,0.0,0.24045132232705912,1.045307626312204,1288.7395628608401,0.4086082543462277
7f12be460554864970db3911,addendum_concentration_100_5_high,administered,12,7f12be460554864970db3911,6051.909354437636,11631.862943007742,0.0,0.3461325334387549,1.0694819376935385,1290.4450312302738,0.41305079176802545
939dd94269b14e38a49b3845,addendum_concentration_100_5_high,administered,13,939dd94269b14e38a49b3845,4619.594430598109,17980.277322291127,0.0,0.09925833660634392,1.0481225032639299,3168.6790654483716,0.31051133011883353
c8c9538fea1d84309c054ec2,addendum_concentration_100_5_high,administered,14,c8c9538fea1d84309c054ec2,5530.195465789902,10795.50730121693,0.0,0.4133300709607582,1.0664458730542719,764.751835343749,0.39266823247448995
712f3e8255cf4fb5370b7ed9,addendum_concentration_100_5_high,administered,15,712f3e8255cf4fb5370b7ed9,5815.8289409084,10731.675835719467,0.0,0.5138902005310988,1.0575652668989892,680.7312259355776,0.28484552291574283
ceaf90073ed296e543c7c56d,addendum_concentration_100_5_high,administered,16,ceaf90073ed296e543c7c56d,4212.484883758121,10729.02728023243,0.0,0.30678988740898544,1.043810487499738,1384.6914313150533,0.3385168477795579
10ce2f38f8bd0d732868e8c8,addendum_concentration_100_5_high,administered,17,10ce2f38f8bd0d732868e8c8,6097.6715270719715,11600.290155508937,0.0,0.4085320667615792,1.0326552916169673,1221.6104552109991,0.3191798040046812
