scenario_id,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
topology_100_5_empirical,credit_weighted_productivity,0.06318042907053315,0.0523263584018386,0.0756089135914503,25,2.065194483438671,9.999000099990002e-05,0.00019998000199980003
topology_100_5_empirical,mean_unfunded_share,0.41156658010440755,0.3489319118474427,0.4735963947820192,25,2.5376977544049986,9.999000099990002e-05,0.00019998000199980003
topology_100_5_high,credit_weighted_productivity,0.06318042907053315,0.0523263584018386,0.0756089135914503,25,2.065194483438671,9.999000099990002e-05,0.00019998000199980003
topology_100_5_high,mean_unfunded_share,0.41156658010440755,0.3489319118474427,0.4735963947820192,25,2.5376977544049986,9.999000099990002e-05,0.00019998000199980003
topology_30_3_empirical,credit_weighted_productivity,0.08200550762689338,0.06499303377568007,0.10168566413955608,25,1.6997307562814172,9.999000099990002e-05,0.00019998000199980003
topology_30_3_empirical,mean_unfunded_share,0.5327737389346667,0.483271636345975,0.5857734890519259,25,3.9500549406624574,9.999000099990002e-05,0.00019998000199980003
topology_30_5_empirical,credit_weighted_productivity,0.08364594334340399,0.0639427491718797,0.10568536541140061,24,1.571252376992487,9.999000099990002e-05,0.00019998000199980003
topology_30_5_empirical,mean_unfunded_share,0.522275725806703,0.44745075518108296,0.5966758459627661,25,2.6667852474974936,9.999000099990002e-05,0.00019998000199980003
topology_30_5_high,credit_weighted_productivity,0.08364594334340399,0.0639427491718797,0.10568536541140061,24,1.571252376992487,9.999000099990002e-05,0.00019998000199980003
topology_30_5_high,mean_unfunded_share,0.522275725806703,0.44745075518108296,0.5966758459627661,25,2.6667852474974936,9.999000099990002e-05,0.00019998000199980003
topology_30_5_low,credit_weighted_productivity,0.08364594334340399,0.0639427491718797,0.10568536541140061,24,1.571252376992487,9.999000099990002e-05,0.00019998000199980003
topology_30_5_low,mean_unfunded_share,0.522275725806703,0.44745075518108296,0.5966758459627661,25,2.6667852474974936,9.999000099990002e-05,0.00019998000199980003
