mechanism_disabled,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
bank_competition,cumulative_new_credit,-0.1949093870239064,-0.3889186017922589,0.0074557582215440945,30,-0.3436190420434705,0.07539246075392461,0.07539246075392461
bank_competition,cumulative_output,-0.3726994250521784,-0.6815344227558099,-0.07027937637437204,30,-0.42468033674643696,0.024897510248975102,0.049795020497950204
borrower_risk_pricing,cumulative_new_credit,-0.0003993369197890099,-0.002057137359138298,0.0013431306176713519,30,-0.08284628597036449,0.6681331866813318,1.0
borrower_risk_pricing,cumulative_output,0.0015895223759343935,-0.004979847424812837,0.008019921961115794,30,0.08512752270119005,0.6605339466053395,1.0
capital_pricing,cumulative_new_credit,-0.3251759452029494,-0.6654374068492115,0.020683185588460988,30,-0.32834482604462456,0.0887911208879112,0.0887911208879112
capital_pricing,cumulative_output,-0.6560863066188479,-1.1891890158404652,-0.1218273786045232,30,-0.425980521039805,0.026697330266973303,0.053394660533946606
credit_to_production,cumulative_new_credit,-0.3620081937350154,-0.6986936396352547,-0.021126371460687448,30,-0.3721326825787627,0.055394460553944605,0.11078892110788921
credit_to_production,cumulative_output,-0.09546071147245433,-0.35502109634974505,0.20781210708504497,30,-0.11913822472578889,0.5625437456254374,0.5625437456254374
emergency_facility,cumulative_new_credit,-0.3251759452029494,-0.6654374068492115,0.020683185588460988,30,-0.32834482604462456,0.0887911208879112,0.0887911208879112
emergency_facility,cumulative_output,-0.6560863066188479,-1.1891890158404652,-0.1218273786045232,30,-0.425980521039805,0.026697330266973303,0.053394660533946606
inflation_pass_through,cumulative_new_credit,0.09416265799821887,-0.06931251342365001,0.2605757664912837,30,0.19946458748720874,0.28077192280771923,0.5615438456154385
inflation_pass_through,cumulative_output,0.03265236414714915,-0.2236323437633492,0.29722449288729597,30,0.04402590686912122,0.8145185481451854,0.8145185481451854
interbank_market,cumulative_new_credit,-0.3179912130276762,-0.6557692873625707,0.029955627003566857,30,-0.3222072612631024,0.0943905609439056,0.0943905609439056
interbank_market,cumulative_output,-0.6422178569804752,-1.1720849520093557,-0.11297632203359517,30,-0.4197023921154819,0.0282971702829717,0.0565943405659434
liquidity_pricing,cumulative_new_credit,-0.32748200525936894,-0.6687461752218058,0.018843218952289763,30,-0.3304102654448558,0.08699130086991301,0.08699130086991301
liquidity_pricing,cumulative_output,-0.6543574969098245,-1.1836884866029818,-0.12261905699713271,30,-0.4268115429423223,0.026297370262973702,0.052594740525947405
