parameter_set_id,outcome,matched_seeds,mean_effect,standard_deviation,minimum_effect,maximum_effect,positive_seed_share,production_alpha,investment_share,base_credit_demand,risk_price,liquidity_price,capital_price
lhs-000,cumulative_new_credit,5,1.349962749770269,7.704778103143727,-7.709058253901905,12.995914367283206,0.4,0.47992855696354886,0.19256067393411266,17.890406861859343,0.013153800407605318,0.012848099046085991,0.024673306267553194
lhs-001,cumulative_new_credit,5,35.10999884150298,35.46846392002263,-16.01897473990875,69.87244416995902,0.8,0.3853841965841509,0.19516717290852095,18.92960231483749,0.029218431748948455,0.03894743538500968,0.027420426856872224
lhs-002,cumulative_new_credit,5,-35.833223468897046,74.95640690017449,-162.1917913092185,27.726067654042126,0.4,0.20226535629570072,0.1879043408257433,11.828417801179242,0.049692274648982265,0.006702368425143325,0.020157763446255014
lhs-003,cumulative_new_credit,5,13.728893281756836,30.962762558282815,-37.97874271033544,45.11147258972703,0.8,0.24029216342497967,0.16526893137187734,18.712677389049816,0.037920033729592136,0.019319640612318084,0.012295412264207257
lhs-004,cumulative_new_credit,5,13.317719860419242,7.4505914648367835,5.223013646721569,21.19527459215638,1.0,0.2979344271377215,0.5088078745597293,6.991530130354737,0.0346135491264117,0.01093638040382968,0.01261108445577072
lhs-005,cumulative_new_credit,5,8.231200894651973,22.513795994520816,-13.299060169065172,33.700255426552914,0.4,0.22447906295294018,0.1609798729622061,18.06723236478148,0.03699868167162337,0.01039440232012254,0.02678608589377829
lhs-006,cumulative_new_credit,5,52.86493561870915,40.20431419213605,0.4881168759178536,95.87382138272895,1.0,0.291841796760782,0.568240841982631,6.271169165364396,0.028195873125968846,0.004257735707925776,0.006835246193494922
lhs-007,cumulative_new_credit,5,42.70746052623265,20.982776720596508,18.717062305881313,66.69672692806901,1.0,0.2593883663028971,0.4903566416867754,9.838316744934449,0.03172911125748942,0.00404895129687137,0.005998303186030368
lhs-008,cumulative_new_credit,5,72.79618201340129,71.32992152426758,13.834942494247592,184.75043768788177,1.0,0.3037167000826977,0.27832948998060114,7.183661525264964,0.02353264377638334,0.027650991179554843,0.02090125986074172
lhs-009,cumulative_new_credit,5,32.85984582836433,22.986683897470158,-0.5130564929384605,62.77755504294177,0.8,0.33364557537223527,0.22215127900932058,6.7525939435681614,0.01910181386937571,0.029154129569402106,0.007079179330587421
lhs-010,cumulative_new_credit,5,2.6326121405464407,22.604606273105677,-29.216541788995187,28.859975731737407,0.6,0.20856638344710007,0.5631585113611801,19.288640308087764,0.046985378712724485,0.039530966603991094,0.020556250680066633
lhs-011,cumulative_new_credit,5,-0.6944388454806074,7.459944065713411,-6.636441161030859,11.68370272778936,0.4,0.36060416347245894,0.2905759002943015,17.660477431797933,0.00899993246604781,0.011440501385058623,0.014715922123385046
lhs-012,cumulative_new_credit,5,53.437162505499806,110.53758931312578,-47.90859167800045,241.36872324922524,0.8,0.42945835014671,0.5118070395569627,19.083263040128003,0.03664094674703152,0.00581697234968986,0.01491841965678755
lhs-013,cumulative_new_credit,5,24.483409465679266,29.08429548296996,3.8948858863785745,74.79450049270748,1.0,0.2181971512849908,0.5278326149399918,7.477056280263592,0.027291963242139283,0.029794909025940085,0.01724583532235065
lhs-014,cumulative_new_credit,5,56.2034932358708,46.071049707992245,6.5224624058238305,132.03310868523283,1.0,0.49234172434241685,0.36714310885642665,8.609672432745883,0.03200563173843204,0.017584056986918156,0.022900975803996908
