mechanism_disabled,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
bank_competition,credit_weighted_productivity,0.07904446424580575,0.06194095732429996,0.09812695681472006,29,1.5752691944626473,9.999000099990002e-05,0.00019998000199980003
bank_competition,mean_unfunded_share,0.29162625225899913,0.25207683581513474,0.33361110532769794,30,2.513488611408822,9.999000099990002e-05,0.00019998000199980003
borrower_risk_pricing,credit_weighted_productivity,0.00023877613968283177,-9.574231234190283e-07,0.0006271149150295274,30,0.2525216602291064,0.1643835616438356,0.24437556244375563
borrower_risk_pricing,mean_unfunded_share,0.0003220755311398569,1.99250563595665e-19,0.0008056736960245666,30,0.27507893544962314,0.12218778122187782,0.24437556244375563
capital_pricing,credit_weighted_productivity,0.08052225483481865,0.06321932323925275,0.0998441648191005,29,1.5817429880728577,9.999000099990002e-05,0.00019998000199980003
capital_pricing,mean_unfunded_share,0.5029745899338095,0.4360892300828877,0.5742170459363917,30,2.5644832405205475,9.999000099990002e-05,0.00019998000199980003
credit_to_production,credit_weighted_productivity,0.07996707473095217,0.06273833351442297,0.09923583321550475,29,1.581633604364914,9.999000099990002e-05,0.00019998000199980003
credit_to_production,mean_unfunded_share,0.49527792682979893,0.4293666490516058,0.5657467432019536,30,2.5481206899857565,9.999000099990002e-05,0.00019998000199980003
emergency_facility,credit_weighted_productivity,0.08052225483481865,0.06321932323925275,0.0998441648191005,29,1.5817429880728577,9.999000099990002e-05,0.00019998000199980003
emergency_facility,mean_unfunded_share,0.5029745899338095,0.4360892300828877,0.5742170459363917,30,2.5644832405205475,9.999000099990002e-05,0.00019998000199980003
inflation_pass_through,credit_weighted_productivity,0.03711189958461614,0.03002217870591423,0.04484057667770313,30,1.7655300638840123,9.999000099990002e-05,0.00019998000199980003
inflation_pass_through,mean_unfunded_share,0.2819655247556606,0.23240895821068985,0.3376342561431111,30,1.8889414110456015,9.999000099990002e-05,0.00019998000199980003
interbank_market,credit_weighted_productivity,0.08018286671937495,0.06293503866308692,0.09931309133080253,29,1.5881852774497935,9.999000099990002e-05,0.00019998000199980003
interbank_market,mean_unfunded_share,0.5006390958210084,0.4335680270611766,0.5718736551106645,30,2.5452704284803045,9.999000099990002e-05,0.00019998000199980003
liquidity_pricing,credit_weighted_productivity,0.07994578630401326,0.0627344546083925,0.09909957262507933,29,1.5845771084992144,9.999000099990002e-05,0.00019998000199980003
liquidity_pricing,mean_unfunded_share,0.5022273927540958,0.4351626944818212,0.5737249536411257,30,2.5546171057367677,9.999000099990002e-05,0.00019998000199980003
