run_id,cumulative_new_credit,cumulative_output,unresolved_liquidity_shortfall,mean_unfunded_share,cumulative_consumption,defaults,write_offs,resolution_cost,credit_weighted_productivity,scenario_id,rate_regime,replication
60d28246786a06a7922d1bb6,25.681882734717703,4330.522501721929,0.0,0.06197250967631398,2328.0121376732686,0,0.0,0.0,1.0840370131570836,h7_reserve_0.20_limited_0.5,administered,1
60efc53e0316737c6c111f44,5.996073288578723,4658.785844596299,0.0,0.45501090037447495,2881.1718535147625,0,0.0,0.0,1.1428849656637725,h7_reserve_0.05_unavailable_0.0,market,18
612d1e8282507cae55404cf1,8.659264281687713,4448.117359702767,0.0,0.5262292568542568,2729.2592443974486,0,0.0,0.0,1.1296568997772996,h7_reserve_0.05_unavailable_0.0,market,19
615fbe51c5845473d9686e0e,11.867552846485681,4416.061112227241,0.0,0.6651696464689626,2703.917390273825,0,0.0,0.0,1.1520562494063809,h7_reserve_0.10_unavailable_0.0,market,5
616650c211d98e2b11467e50,20.1530359361581,4612.810528214268,0.0,0.08083062770562746,2558.304073005226,0,0.0,0.0,1.1600019947801545,h7_reserve_0.35_unavailable_0.0,administered,8
61cf0231274ebc0e29a4d658,26.180257657404766,4549.662163816799,0.0,0.014261548636548611,2766.0531333218896,0,0.0,0.0,1.047897891896817,h7_reserve_0.50_penalty_1.0,administered,9
61ffef4c78b15b2a6ca48b30,4.983749226870627,4513.5496013263055,0.0,0.7716509402906461,2951.700507464503,0,0.0,0.0,1.1573077058489072,h7_reserve_0.20_limited_1.0,market,10
6220e74ec8c7d7c3d74f3ad1,15.511919468634828,4652.741134609917,0.0,0.39722475945209007,2708.999179193127,0,0.0,0.0,1.2141062034739023,h7_reserve_0.35_limited_1.0,market,13
627e46140119407a36788b42,12.92659955719569,4669.316461514634,0.0,0.02173697761933054,2886.055550364862,0,0.0,0.0,1.0970586891656733,h7_reserve_0.05_limited_0.5,administered,18
62b9665f65728e8280a4da24,6.042795937580634,4658.86019907429,0.0,0.4525459176781747,2881.2055879699606,0,0.0,0.0,1.1422034068335905,h7_reserve_0.20_limited_1.0,market,18
63a77b8fcfc01fe6ade26ccc,20.962895185524577,4533.634504881314,0.0,0.03479248555490196,2962.448920687257,0,0.0,0.0,1.017558530435187,h7_reserve_0.35_penalty_1.0,administered,10
